Country,Year,Contribution
Andorra,2006,25316.46
Antigua and Barbuda,2006,5000.0
Armenia,2006,5000.0
Australia,2006,7575757.58
Azerbaijan,2006,20000.0
Bangladesh,2006,5000.0
Belgium,2006,2666666.67
Canada,2006,21891891.89
Croatia,2006,5000.0
Czech Republic,2006,113327.29
Denmark,2006,8403361.34
Disaster Resource Network,2006,10000.0
Djibouti,2006,2000.0
Ecuador,2006,20000.0
Egypt,2006,15000.0
Estonia,2006,24000.0
Estonia,2006,28102.0
Finland,2006,4761904.76
France,2006,625000.0
France,2006,641025.64
Greece,2006,100000.0
Grenada,2006,10000.0
Hyogo Prefecture (Japan),2006,431034.48
Iceland,2006,149992.5
India,2006,1000000.0
Indonesia,2006,50000.0
Ireland,2006,12658227.85
Japan,2006,7500000.0
Kazakhstan,2006,25000.0
Korea,2006,5000000.0
Kuwait,2006,200000.0
Liechtenstein,2006,100000.0
Luxembourg,2006,4000000.0
Malaysia,2006,50000.0
Mexico,2006,50000.0
Monaco,2006,25000.0
Morocco,2006,5000.0
Netherlands,2006,25316455.7
Netherlands,2006,26666666.67
Nigeria,2006,2452.0
Norway,2006,29993971.19
Pakistan,2006,20000.0
Poland,2006,250000.0
Portugal,2006,256410.26
Qatar,2006,2000000.0
Saudi Arabia,2006,50000.0
Slovenia,2006,10000.0
South Africa,2006,288461.54
Spain,2006,10000000.0
Sri Lanka,2006,10000.0
Sweden,2006,41457286.43
Switzerland,2006,1526717.56
Switzerland,2006,2290076.34
Thailand,2006,10000.0
Trinidad and Tobago,2006,20000.0
Turkey,2006,300000.0
United Kingdom,2006,74074074.07
United States of America,2006,5000000.0
United States of America,2006,5000000.0
Algeria,2007,10000.0
Andorra,2007,29735.2
Antigua and Barbuda,2007,5000.0
Armenia,2007,5000.0
Australia,2007,8771929.82
Austria,2007,410958.9
Azerbaijan,2007,20000.0
Bahamas,2007,50000.0
Belgium,2007,2784810.13
Brazil,2007,30000.0
Brunei Darussalam,2007,50000.0
Bulgaria,2007,10000.0
Canada,2007,35102040.82
Chile,2007,30000.0
China,2007,500000.0
Colombia,2007,20000.0
Croatia,2007,20000.0
Cyprus,2007,30000.0
Czech Republic,2007,117924.53
Denmark,2007,8103727.71
Disaster Resource Network,2007,9978.0
Djibouti,2007,2000.0
Ecuador,2007,20000.0
Egypt,2007,15000.0
El Salvador,2007,2000.0
Estonia,2007,39752.65
Finland,2007,6756756.76
France,2007,1315789.47
Germany,2007,6578947.37
Humanity First USA,2007,10000.0
Hungary,2007,10000.0
Hyogo Prefecture (Japan),2007,435578.01
Iceland,2007,558618.16
India,2007,1000000.0
Indonesia,2007,100000.0
Ireland,2007,26315789.47
Israel,2007,15000.0
Israel,2007,15000.0
Italy,2007,1301369.86
Italy,2007,1376004.35
Jamaica,2007,5000.0
Jan Egeland,2007,17240.19
Kazakhstan,2007,10000.0
Korea,2007,1500000.0
Lebanon,2007,3000.0
Liechtenstein,2007,123193.9
Luxembourg,2007,5633802.82
Malaysia,2007,100000.0
Maldives,2007,1000.0
Malta,2007,10000.0
Mexico,2007,50000.0
Monaco,2007,35000.0
Morocco,2007,5000.0
Netherlands,2007,53333333.33
New Zealand,2007,769230.77
Norway,2007,55066048.96
Pakistan,2007,20000.0
Peru,2007,5000.0
Philippines,2007,5000.0
Poland,2007,250000.0
Poland,2007,260000.0
Portugal,2007,266666.67
"Private donations outside UN Foundation (under $10,000)",2007,8107.05
"Private donations through UN Foundation (under $10,000)",2007,117959.0
Romania,2007,357142.86
Saudi Arabia,2007,50000.0
Slovenia,2007,50000.0
South Africa,2007,240000.0
Spain,2007,20805867.12
Sri Lanka,2007,10000.0
Sweden,2007,28985507.25
Sweden,2007,14224751.07
Sweden,2007,7812500.0
Switzerland,2007,4098346.72
Switzerland,2007,2419268.55
Switzerland,2007,1652878.51
Thailand,2007,10000.0
Trinidad and Tobago,2007,20000.0
Turkey,2007,300000.0
United Kingdom,2007,73448275.86
Albania,2008,3000.0
Alexander Bodini Foundation,2008,10000.0
Algeria,2008,10000.0
Andorra,2008,33823.53
Antigua and Barbuda,2008,5000.0
Argentina,2008,30000.0
Armenia,2008,5000.0
Australia,2008,9615384.62
Austria,2008,468750.0
Austria,2008,223880.6
Austria,2008,357142.86
Bangladesh,2008,5000.0
Belgium,2008,2531645.57
Bhutan,2008,1480.0
Bosnia and Herzegovina,2008,5000.0
Botswana,2008,5000.0
Brazil,2008,50000.0
Bulgaria,2008,5000.0
Bulgaria,2008,5000.0
Canada,2008,19207920.79
Canada,2008,19801980.2
Chile,2008,100000.0
China,2008,500000.0
Croatia,2008,22000.0
Croatia,2008,12000.0
Czech Republic,2008,153874.56
Denmark,2008,9920634.92
Disaster Resource Network,2008,5000.0
Ecuador,2008,20000.0
Egypt,2008,15000.0
Estonia,2008,91185.41
Finland,2008,7352941.18
France,2008,1562500.0
France,2008,648214.47
Germany,2008,14705882.35
Ghana,2008,5000.0
Greece,2008,300000.0
Guatemala,2008,10000.0
Guyana,2008,4912.84
Holy See (Vatican City State),2008,5000.0
Humanity First USA,2008,2500.0
Hungary,2008,20000.0
Iceland,2008,560000.0
Indonesia,2008,100000.0
Ireland,2008,33176746.92
Israel,2008,15000.0
Italy,2008,3174603.17
Japan,2008,1000000.0
Japan,2008,1169083.18
Kazakhstan,2008,50000.0
Korea,2008,2000000.0
Kuwait,2008,50000.0
Latvia,2008,20000.0
Liechtenstein,2008,178571.43
Lithuania,2008,20844.62
Luxembourg,2008,6349206.35
Malaysia,2008,100000.0
Maldives,2008,1000.0
Mexico,2008,100000.0
Monaco,2008,129870.13
Mongolia,2008,10000.0
Montenegro,2008,2500.0
Morocco,2008,5000.0
Netherlands,2008,63492063.49
New Zealand,2008,763358.78
Norway,2008,54744525.55
Pakistan,2008,20000.0
Peru,2008,10000.0
Philippines,2008,5000.0
Poland,2008,300000.0
Portugal,2008,317460.32
PriceWaterhouseCoopers,2008,500000.0
"Private donations outside UN Foundation (under $10,000)",2008,3514.92
"Private donations through UN Foundation (under $10,000)",2008,118201.0
Qatar,2008,100000.0
San Marino,2008,4411.76
Saudi Arabia,2008,100000.0
SCOR,2008,200000.0
Slovenia,2008,50000.0
South Africa,2008,221538.45
Spain,2008,31746031.75
Spain,2008,13157894.74
Sri Lanka,2008,10000.0
Sweden,2008,55469953.78
Switzerland,2008,3883478.64
Switzerland,2008,3333333.33
Syria,2008,5000.0
Thailand,2008,20000.0
Trinidad and Tobago,2008,20000.0
Tunisia,2008,5000.0
Turkey,2008,300000.0
United Arab Emirates,2008,50000.0
United Kingdom,2008,62111801.0
United States of America,2008,5000000.0
Western Union,2008,100000.0
"Abu Dhabi National Energy Company ""TAQA""",2009,150000.0
Afghanistan,2009,1500.0
Albania,2009,3500.0
Alexander Bodini Foundation,2009,15000.0
Algeria,2009,10000.0
Andorra,2009,29870.13
Andorra,2009,7575.76
Antigua and Barbuda,2009,5000.0
Argentina,2009,30000.0
Armenia,2009,5000.0
Australia,2009,8053691.28
Austria,2009,422535.21
Azerbaijan,2009,10000.0
Baha'i International Community,2009,10000.0
Belgium,2009,6493506.49
Benin,2009,1500.0
Bhutan,2009,1480.0
Brazil,2009,99985.0
Brazil,2009,50000.0
Bulgaria,2009,14966.2
Canada,2009,39400000.0
Chile,2009,20000.0
China,2009,500000.0
Colombia,2009,40000.0
Croatia,2009,24000.0
Czech Republic,2009,154718.93
Denmark,2009,8417508.42
Egypt,2009,15000.0
Estonia,2009,80845.0
Finland,2009,8219178.08
Germany,2009,19480519.48
Ghana,2009,10000.0
Greece,2009,500000.0
Haiti,2009,1480.0
Holy See (Vatican City State),2009,5000.0
HSBC Bank Middle East Limited,2009,100000.0
Hungary,2009,25000.0
Hungary,2009,29069.77
Iceland,2009,200000.0
India,2009,500000.0
Indonesia,2009,125000.0
Ireland,2009,17142857.14
Ireland,2009,2727272.73
Ireland,2009,8985507.25
Israel,2009,15000.0
Italy,2009,1272727.27
Jamaica,2009,5000.0
Japan,2009,1000000.0
Kazakhstan,2009,50000.0
Kenya,2009,9894.62
Korea,2009,3000000.0
Kuwait,2009,50000.0
Lao PDR,2009,3000.0
Liechtenstein,2009,210084.03
Luxembourg,2009,5194805.19
Malaysia,2009,100000.0
Mexico,2009,150000.0
Moldova,2009,10000.0
Monaco,2009,141692.25
Montenegro,2009,5000.0
Morocco,2009,5000.0
Mozambique,2009,2000.0
Myanmar,2009,10000.0
Namibia,2009,1000.0
Netherlands,2009,55555555.56
New Zealand,2009,1000000.0
Norway,2009,38461538.46
Norway,2009,4273504.27
Oman,2009,30000.0
Pakistan,2009,15000.0
Peru,2009,10000.0
Philippines,2009,10000.0
Poland,2009,300000.0
Portugal,2009,259740.26
"Private donations outside UN Foundation (under $10,000)",2009,1400.0
"Private donations through UN Foundation (under $10,000)",2009,56030.0
Qatar,2009,50000.0
Samoa,2009,2000.0
San Marino,2009,0.0
Saudi Arabia,2009,150000.0
Slovakia,2009,10000.0
Slovenia,2009,64935.06
South Africa,2009,180000.0
Spain,2009,39473684.21
Sri Lanka,2009,10000.0
Sweden,2009,49367572.36
Switzerland,2009,4201680.67
Syria,2009,5000.0
The Estate of George Gary,2009,10408.05
The Red Crescent of the UAE,2009,9981.5
Timor-Leste,2009,1200.0
Trinidad and Tobago,2009,20000.0
Turkey,2009,200000.0
Tuvalu,2009,1000.0
United Kingdom,2009,61443932.41
Venezuela,2009,5000.0
Vietnam,2009,10000.0
Western Union,2009,100000.0
"Abu Dhabi National Energy Company ""TAQA""",2010,272257.01
Afghanistan,2010,1508.14
Alexander Bodini Foundation,2010,20000.0
Algeria,2010,10000.0
Andorra,2010,33823.53
Andorra,2010,9945.0
Antigua and Barbuda,2010,5000.0
Argentina,2010,50000.0
Armenia,2010,5000.0
Australia,2010,11111111.11
Austria,2010,405405.41
Baha'i International Community,2010,10000.0
Baha'i International Community,2010,10000.0
Bangladesh,2010,5000.0
BASF (Germany and South East Asia),2010,317825.0
BASF (Germany and South East Asia),2010,12186.82
BASF (Germany and South East Asia),2010,431019.69
Belgium,2010,9090909.09
Belgium,2010,757575.76
Bhutan,2010,150000.0
Bilkent Holding AS,2010,10000.0
Brazil,2010,200000.0
Canada,2010,19126213.59
Canada,2010,18240740.74
Central African Republic,2010,197238.66
Chile,2010,30000.0
China,2010,1000000.0
China,2010,500000.0
"Chung Te Buddhist Association of New York, Inc.",2010,41771.22
Colombia,2010,30000.0
Costa Rica,2010,9642.91
Croatia,2010,25000.0
Cyprus,2010,30000.0
Daystar Christian Centre,2010,20000.0
Denmark,2010,9433962.26
Denmark,2010,1760563.38
Djibouti,2010,4000.0
Egypt,2010,15000.0
ENDESA Peru,2010,12947.9
ENDESA Spain,2010,55051.88
ENDESA Spain,2010,140.91
Estonia,2010,73743.59
Finland,2010,9090909.09
France,2010,675675.68
Georgia,2010,2000.0
Germany,2010,22727272.73
GMC Services,2010,20000.0
Greece,2010,500000.0
Holy See (Vatican City State),2010,5000.0
HSBC Bank Middle East Limited,2010,16825.35
Iceland,2010,100000.0
India,2010,500000.0
Indonesia,2010,150000.0
Ireland,2010,4938271.6
Israel,2010,20000.0
Italy,2010,1666666.67
Japan,2010,2000000.0
Jefferies and Company,2010,1000000.0
Kazakhstan,2010,50000.0
Korea,2010,3000000.0
Korean and Overseas Fans of Kim Hyun Joong,2010,19293.0
Kuwait,2010,34600.0
Latin American Benevolent Foundation,2010,25000.0
Latvia,2010,20672.55
Lebanon,2010,3000.0
Liechtenstein,2010,249750.0
Luxembourg,2010,6363636.36
Madagascar,2010,2000.0
Mexico,2010,150000.0
Moldova,2010,10000.0
Monaco,2010,147058.82
Montenegro,2010,5000.0
Morocco,2010,5000.0
Mozambique,2010,2000.0
Mozambique,2010,2000.0
Myanmar,2010,10000.0
Namibia,2010,2000.0
Netherlands,2010,54794520.55
New Zealand,2010,1000000.0
Norway,2010,8064516.13
Norway,2010,56325823.22
Pakistan,2010,19171.0
Panama,2010,5000.0
Philippines,2010,10000.0
Poland,2010,250000.0
Portugal,2010,294117.65
PriceWaterhouseCoopers,2010,100000.0
PriceWaterhouseCoopers,2010,100000.0
"Private donations outside UN Foundation (under $10,000)",2010,89756.62
"Private donations through UN Foundation (under $10,000)",2010,550000.0
"Private donations through UN Foundation (under $10,000)",2010,150000.0
"Private donations through UN Foundation (under $10,000)",2010,73268.0
"Private donations through UN Foundation (under $10,000)",2010,399616.0
Romania,2010,73529.41
Romania,2010,63291.14
Russian Federation,2010,2000000.0
Saint Lucia,2010,500.0
Saint Lucia,2010,500.0
San Marino,2010,0.0
San Marino,2010,0.0
San Marino,2010,0.0
Singapore,2010,30000.0
Skanska USA Building Inc.,2010,50000.0
Slovenia,2010,15151.52
South Africa,2010,263540.0
Sovereign Military Order of Malta,2010,5000.0
Spain,2010,45454545.45
Sri Lanka,2010,10000.0
Sweden,2010,5714285.71
Sweden,2010,60714285.71
Switzerland,2010,5000000.0
Syria,2010,5000.0
Tajikistan,2010,2000.0
Trinidad and Tobago,2010,20000.0
Turkey,2010,200000.0
Ukraine,2010,503310.34
UN Foundation core fund,2010,250000.0
UN Spouses Bazaar,2010,35113.43
United Arab Emirates,2010,50000.0
United Islamic Center,2010,20000.0
United Kingdom,2010,28787878.79
United Kingdom,2010,31343283.58
United States of America,2010,10000000.0
Vietnam,2010,10000.0
Western Union,2010,100000.0
Western Union,2010,50000.0
World Mission Society Church of God,2010,100000.0
Afghanistan,2011,500.0
Albania,2011,4000.0
Algeria,2011,10000.0
Andorra,2011,26315.79
Argentina,2011,58394.0
Armenia,2011,5000.0
Australia,2011,13461538.46
Austria,2011,281690.14
